text,class
"let me explain something. because of the fact that the pharmaceutical companies -- because of the fact that the pharmaceutical companies are not mandated to bid properly, they have hundreds of billions of dollars in waste. we don't bid properly. we don't have proper bidding procedures. the reason we don't is because they take care of all of the senators, all of the congressman, and they don't bid. they don't go out to bid.",1
"yeah, i would go, first of all, one step further in this description of hillary clinton. she wouldn't just be a disaster, hillary clinton is disqualified from being commander in chief of the united states.",1
"and they love america. and as far as i know, no one on this stage has served in uniform in the united states military. anyone out there that has the uniform of the united states on and is willing to die for this country is someone that loves america. no matter what their religious background may be.",1
"it means that we have to rethink the so-called war on drugs which has destroyed the lives of millions of people, which is why i have taken marijuana out of the controlled substance act. so that it will not be a federal crime.",0
"now, what i believe is in fact that we have a corrupt campaign finance system. and it's not just wall street, it's the drug companies, (inaudible) received millions of dollars from the fossil fuel industry. we've got to overturn citizens united and end that.",0
"well, first of all, wolf, i said last february that we needed to have people on the ground, troops on the ground in a coalition similar to what we had in the first gulf war. i remember when the egyptian ambassador to the united states stood in the rose garden and pledged arab commitment to removing saddam hussein from kuwait. before we came out here tonight, i am told that the saudis have organized 34 countries who want to join in the battle against terrorism. first and foremost, we need to go and destroy isis. and we need to do this with our arab friends and our friends in europe. and when i see they have a climate conference over in paris, they should have been talking about destroying isis because they are involved in virtually every country, you know, across this world.",1
"look, i think we are readier than we used to be, but it's a constant effort that has to be undertaken to make sure we are as ready as we need to be. we have made a lot of improvements in our domestic security since 9/11, and we have been able to foil and prevent attacks, yet we see the terrible attack in san bernardino and know that we haven't done enough. so we have to go after this both abroad and at home. we have to go after terrorist networks, predominantly isis -- that's not the only one, but let's focus on that for a minute. we have to lead a coalition that will take back territory from isis. that is principally an american-led air campaign that we are now engaged in. we have to support the fighters on the ground, principally the arabs and the kurds who are willing to stand up and take territory back from raqqa to ramadi. we have to continue to work with the iraqi army so that they are better prepared to advance on some of the other strongholds inside iraq, like mosul, when they are able to do so. and we have to cut off the flow of foreign funding and foreign fighters. and we have to take on isis online. they are a sophisticated purveyor of propaganda, a celebrator of violence, an instigator of attacks using their online presence. here at home, we've got to do a better job coordinating between federal, state, and local law enforcement. we need the best possible intelligence not only from our own sources, but from sources overseas, that can be a real-time fusion effort to get information where it's needed. but the final thing i want to say about this is the following. you know, after 9/11, one of the efforts that we did in new york was if you see something or hear something suspicious, report it. and we need to do that throughout the country. but we need to understand that american muslims are on the front line of our defense. they are more likely to know what's happening in their families and their communities, and they need to feel not just invited, but welcomed within the american society. so when somebody like donald trump and",0
i'd like to finish my question -- my answer. and also we just bombed a hospital. we've had drone strikes that hit civilian weddings. so i would change how we -- our approach to the middle east. we need a new paradigm in the middle east.,0
"so david, the conclusion of all of those things is this; they weren't hopes, they weren't dreams, they weren't amorphous goals out there. we actually took action to do these things and as president, i have put forward 15 strategic goals that will make wages go up again for all american families. universal national service is an option for every kid in america to cut youth employment. and i'm the only candidate on this stage to put forward a new agenda for america's cities so we can employ more people in the heart of great american cities and get them back to work.",0
"...but the only way we can get things done is by having millions of people coming together. if we want free tuition at public colleges and universities, millions of young people are going to have to demand it, and give the republicans an offer they can't refuse. if we want to raise the minimum wage to $15 bucks an hour, workers are going to have to come together and look the republicans in the eye, and say, ""we know what's going on. you vote against us, you are out of your job.""",0
"...others are also joining in making clear that his rhetoric, his demagoguery, his trafficking in prejudice and paranoia has no place in our political system. especially from somebody running for president who couldn't decide whether or not to disavow the ku klux klan and david duke. so people can draw their own conclusions about him. i will just end by saying this. you don't make america great by getting rid of everything that made america great.",0
"i want to go back to the discussion we had a minute ago because, you know, what was said was right. the democrats are laughing -- because if republicans join democrats as the party of amnesty, we will lose.",1
"well, first of all, let's remember where we were when bush left office. we were losing 800,000 jobs a month. and i know my republican friends seem to have some amnesia on this issue, but the world's financial crisis was on -- the world's financial markets system was on the verge of collapse. that's where we were. are we better off today than we were then? absolutely. but the truth is that for the 40 years, the great middle class of this country has been disappearing. and in my view what we need to do is create millions of jobs by rebuilding our crumbling infrastructure; raise the minimum wage to $15 an hour; pay equity for women workers; and our disastrous trade policies, which have cost us millions of jobs; and make every public college and university in this country tuition free.",0
"well, let me say i think we did a great deal to help the libyan people after qadafi's demise. and here's what we did. we helped them hold two successful elections, something that is not easy, which they did very well because they had a pent up desire to try to chart their own future after 42 years of dictatorship. i was very proud of that. we got rid of the chemical weapons stockpile that qadafi had, getting it out of libya, getting it away from militias or terrorist groups. we also worked to help them set up their government. we sent a lot of american experts there. we offered to help them secure their borders, to train a new military. they, at the end, when it came to security issues, wolf, did not want troops from any other country, not just us, european or other countries, in libya. and so we were caught in a very difficult position. they could not provide security on their own, which we could see and we told them that, but they didn't want to have others helping to provide that security. and the result has been a clash between different parts of the country, terrorists taking up some locations in the country. and we can't walk away from that. we need to be working with european and arab partners...",0
"but more importantly, what is happening in flint to a lesser degree is happening throughout this country. in recent years we have seen a proliferation of millionaires and billionaires, and increase in income and wealth inequality, and all over this country middle class families are struggling. cities and towns are struggling, in order to provide basic services. among many other things, we need to rebuild our crumbling infrastructure, our water systems, our waste water plants, our roads and our bridges. the wealthiest country in the history of the world has got to get its priorities right, take care of the people, no more tax breaks for billionaires.",0
"well, look, i've got to just jump in here because, honestly, senator sanders is the only person who i think would characterize me, a woman running to be the first woman president, as exemplifying the establishment. and i've got to tell you that it",0
