,Text,Speaker,Party
0,"Good evening, and thank you. We are happy to welcome you to Milwaukee for this Democratic debate. We are especially pleased to thank our partners at Facebook, who have helped us set up a vibrant conversation among voters who are undecided. And tonight you're going to hear some of their questions for the candidates. And you can follow along at home on the PBS NewsHour page on Facebook. We also want to thank our hosts, the University of Wisconsin, Milwaukee, on whose campus we meet, here in the beautiful Helen Bader Concert Hall.",Woodruff,Democratic
1,"We want to also extend our warm thanks to Milwaukee Public Radio and Milwaukee Public Television, as well as all of our friends at the PBS member stations across the country tuning in tonight. This is the sixth time the Democrats have met face to face. Each time, we learn more about them and the presidents they say they want to be. You know you're watching -- whether you're a Democrat, a Republican, or neither -- because you believe the outcome of the election is important to you. And we believe that, too. With that, let's welcome the candidates to the stage. Senator Bernie Sanders of Vermont.",Ifill,Democratic
2,(APPLAUSE),AUDIENCE,Democratic
3,"Welcome, Senator, great to see you. And former Secretary of State Hillary Clinton.",Woodruff,Democratic
4,(APPLAUSE),AUDIENCE,Democratic
5,Very good to be here with you.,Woodruff,Democratic
6,Thank you.,Clinton,Democratic
7,Welcome to you both.,Ifill,Democratic
8,"Now, a word about format. There will be two short breaks, and the rules are simple: 90 seconds for each answer and 30 seconds for the other candidate to respond.",Woodruff,Democratic
9,"With Iowa and New Hampshire behind us, we are now broadening the conversation to America's heartland and beyond, including here in Wisconsin. Now let's turn to the candidates for their opening statements. The order was decided by coin toss. And, Senator Sanders, you go first.",Ifill,Democratic
