,Text,Speaker,Party
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,Thank you.,Clinton,Democratic
7,,,
8,,,
9,,,
10,"Well, Gwen and Judy, thank you very much for hosting this event. And, PBS, thank you. Nine months ago, our campaign began. And when it began, we had no political organization, no money, and not much name recognition outside of the state of Vermont. A lot has happened in nine months. And what has happened is, I think, the American people have responded to a series of basic truths, and that is that we have today a campaign finance system which is corrupt, which is undermining American democracy, which allows Wall Street and billionaires to pour huge sums of money into the political process to elect the candidates of their choice. And aligned with a corrupt campaign finance system is a rigged economy. And that's an economy where ordinary Americans are working longer hours for low wagers. They are worried to death about the future of their kids. And yet they are seeing almost all new income and all new wealth going to the top 1 percent. And then in addition to that, the American people are looking around and they see a broken criminal justice system. They see more people in jail in the United States of America than any other country on earth, 2.2 million. We're spending $80 billion a year locking up fellow Americans. They see kids getting arrested for marijuana, getting in prison, getting a criminal record, while they see executives on Wall Street who pay billions of dollars in settlements and get no prosecution at all. No criminal records for them. I think what our campaign is indicating is that the American people are tired of establishment politics, tired of establishment economics. They want a political revolution in which millions of Americans stand up, come together, not let the Trumps of the world divide us, and say, you know what, in this great country, we need a government that represents all of us, not just a handful of wealthy campaign contributors. Thank you.",Sanders,Democratic
11,,,
12,,,
13,,,
14,"I'm running for president to knock down all the barriers that are holding Americans back, and to rebuild the ladders of opportunity that will give every American a chance to advance, especially those who have been left out and left behind. I know a lot of Americans are angry about the economy. And for good cause. Americans haven't had a raise in 15 years. There aren't enough good-paying jobs, especially for young people. And yes, the economy is rigged in favor of those at the top. We both agree that we have to get unaccountable money out of our political system and that we have to do much more to ensure that Wall Street never wrecks main street again. But I want to go further. I want to tackle those barriers that stand in the way of too many Americans right now. African-Americans who face discrimination in the job market, education, housing, and the criminal justice system. Hardworking immigrant families living in fear, who should be brought out of the shadows so they and their children can have a better future. Guaranteeing that women's work finally gets the pay, the equal pay that we deserve. I think America can only live up to its potential when we make sure that every American has a chance to live up to his or her potential. That will be my mission as president. And I think together we will make progress.",Clinton,Democratic
15,,,
16,,,
17,,,
18,,,
19,,,
20,"Well, to put that in a context, Judy, I think we have to understand that in the last 30 years in this country there has been a massive transfer of wealth going from the hands of working families into the top one-tenth of 1% whose percentage of wealth has doubled. In other words, the very rich are getting richer, almost everybody is going -- getting poorer. What I believe is the United States, in fact, should join the rest of the industrialized world and guarantee healthcare to all people. Our Medicare for all single-payer proposal will save the average middle class family $5,000 a year. I do believe that in the year 2016 we have to look in terms of public education as colleges as part of public education making public colleges and universities tuition free. I believe that when real unemployment is close to 10%, and when our infrastructure, our roads, our bridges, our water systems, Flint, Michigan comes to mind. Our waste water plants, our rail, our airports, in many places are disintegrating. Yeah, we can create 13 million jobs by rebuilding our infrastructure at a cost of a trillion dollars.",Sanders,Democratic
21,,,
